user,content,collect,forward,comment,like,userUrl
10分钟前,小餓图很多么,"#影视剧中的虐恋cp##琉璃##电视剧琉璃#
你们只虐一世，最多三世，我们虐十世，你说它不上榜谁上榜。@成毅 @袁冰妍 @电视剧琉璃",收藏,转发,评论 1,4,https://weibo.com/5311514508?refer_flag=1001030103_
12分钟前 转赞人数超过30,热剧贩卖馆,#琉璃# 上回有小伙伴说要看优酷发布会璇玑和司凤的同框照，真的不是我不努力，是导演巨巨不让🙊,收藏,转发 7,评论 4,30,https://weibo.com/6042105297?refer_flag=1001030103_
13分钟前 转赞人数超过10,婧芯ing,"#司凤是金赤鸟妖# #琉璃#
【成毅 袁冰妍】

花絮~
“初遇”夫妇木桶戏让人心跳加速~
导演你说的都是什么虎狼之词啊 L热剧贩卖馆的微博视频",收藏,转发,评论 1,11,https://weibo.com/6428203683?refer_flag=1001030103_
12分钟前,那取一个什么名字好呢,"#电视剧琉璃##琉璃#
《琉璃直播》他俩真的一秒入戏，演技超棒甜到我牙齿都掉了，赔我的牙😂
这么多人看着呢嘴角上扬，放不下去了哈哈哈哈哈哈哈哈 真是职业演员，时刻关注导演的意见 L婧芯ing的微博视频",收藏,转发,评论 1,0,https://weibo.com/3180828112?refer_flag=1001030103_
18分钟前,你再让我好好想想,好像司凤的翅膀！#琉璃#,收藏,转发,评论 1,0,https://weibo.com/5258877614?refer_flag=1001030103_
19分钟前,肆居居侠,#琉璃#额，尴尬了不是，我居然觉得还好，不是很虐,收藏,转发,评论 1,0,https://weibo.com/5213522086?refer_flag=1001030103_
20分钟前 转赞人数超过5700,甜甜剧,#琉璃# - #琉璃预告# 璇玑喜提天界“神兽”一头，还顺便抢了司凤的第一次初遇夫妇好好磕啊 #电视剧琉璃# L甜甜剧的微博视频,收藏,转发 417,评论 357,5726,https://weibo.com/1768598183?refer_flag=1001030103_
20分钟前 转赞人数超过100,墨殇花,"小说里璇玑追夫后和司凤过着没羞没臊的日子

#琉璃# 成毅/禹司凤、袁冰妍/褚璇玑",收藏,转发 8,评论 20,149,https://weibo.com/1954803455?refer_flag=1001030103_
19分钟前,妈咪的Kiss,#成毅袁冰妍cp感#初遇七夕快乐啊！以后的每一年都要一起过！祝演员成毅袁冰妍前途似锦！#琉璃#,收藏,转发,评论,3,https://weibo.com/2138087261?refer_flag=1001030103_
20分钟前,槑槑Windy,#琉璃# 司凤璇玑好甜哦T﹏T请粮来得更猛烈些吧！！！,收藏,转发 1,评论,1,https://weibo.com/3176554845?refer_flag=1001030103_
22分钟前 转赞人数超过800,闻汤识面泡剧,"借个图，慢放 司凤非常行
#琉璃#",收藏,转发 199,评论 177,792,https://weibo.com/1776016817?refer_flag=1001030103_
24分钟前,流行剧趁热看,"#琉璃# #成毅#

禹司凤超帅打戏混剪
拦不住女孩子们这颗激动的心啊！ L流行剧趁热看的微博视频",收藏,转发 1,评论,2,https://weibo.com/6090644539?refer_flag=1001030103_
24分钟前,惊艳这一刻,"【成毅 袁冰妍】

#琉璃#

柳大哥舔狗上身，见了司凤比亲爹还亲，谁给付钱谁就是大爷！ L惊艳这一刻的微博视频",收藏,转发,评论,0,https://weibo.com/6579088956?refer_flag=1001030103_
25分钟前,Lapland_TT,这部剧真的太上头了、演技在线、特效满分、大戏干净利落、男主好看、女主现在看顺眼了也能过去！#琉璃# LLapland_TT的微博视频,收藏,转发,评论 3,3,https://weibo.com/2402322030?refer_flag=1001030103_
26分钟前 转赞人数超过10,君子好剧,"#琉璃# #袁冰妍#

谁说她没心
璇玑：只有玲珑才是我从小陪我一起长大的亲人！
褚璇玑和玲珑的感情也是超级好了！ L君子好剧的微博视频",收藏,转发 1,评论,13,https://weibo.com/6042105302?refer_flag=1001030103_
26分钟前,百年老片放映室,"#琉璃# #成毅#
好不容易司凤会撩了，马上就要虐了看这剧需要个好心脏啊 L百年老片放映室的微博视频",收藏,转发,评论 1,1,https://weibo.com/6179910949?refer_flag=1001030103_
28分钟前 转赞人数超过1200,剧透影视圈,"#琉璃#
八月男友褚璇玑在线撩汉，小凤凰又双叒叕拿了女主剧本
成毅：你乱了吗？
袁冰妍：我不会乱的，扯证吧！
成毅：那我乱了

#电视剧琉璃# L剧透影视圈的微博视频",收藏,转发 150,评论 178,1324,https://weibo.com/2734396041?refer_flag=1001030103_
0,泛黄的影视剧,"#琉璃#
不虐！别看司凤一直在吐血，后来璇玑千里追夫追了两年！
不过大家千万不要以为这就是全部的剧情呀，其实《琉璃》不虐的，别看我们司凤在各大网友的剪辑下一直在吐血，但其实后来璇玑可是千里追夫，追了足足两年呢，还因为一个叫阿兰的人，开始吃醋，这个时候的璇玑超级担心司凤跑路的。 展开全文c",收藏,转发,评论,0,https://weibo.com/6605860096?refer_flag=1001030103_
28分钟前,栝姢姢avy,,收藏,转发,评论 1,0,https://weibo.com/6124651885?refer_flag=1001030103_
0,追剧,#琉璃# 后面真的虐的不忍心看下去了，真的心疼男主，但是不得不说男主真的是理想中的男友啊！,收藏,转发 232,评论 226,1134,https://weibo.com/6511453608?refer_flag=1001030103_
28分钟前,十二斤水蜜桃苏,"#琉璃# 成毅｜袁冰妍｜爆笑弹幕分享

迟早有一天被笑死在琉璃的的弹幕里
司凤被捅，六师兄投诚天墟堂
弹幕：璇玑，你这属于赔了夫人又折兵

小银花扒司凤衣服，司凤一直吐血好不了
弹幕：把我炖了给我司凤补补
弹幕：这胸肌，弹幕都是老色p了

亭奴在里面救司凤，璇玑在外面等
弹幕：一定要生女 展开全文c",收藏,转发,评论 2,0,https://weibo.com/5313002715?refer_flag=1001030103_
29分钟前 转赞人数超过700,星闻情报,,收藏,转发 67,评论 135,740,https://weibo.com/3985394080?refer_flag=1001030103_
30分钟前 转赞人数超过300,饭圈柠小萌,"#想拥有剧中甜甜的恋爱#
啊啊啊啊啊啊啊啊啊啊啊啊没有昊辰师兄的日子里司凤和璇玑好甜！两位搂紧一点，别松手
#琉璃# L饭圈柠小萌的微博视频",收藏,转发 62,评论 117,391,https://weibo.com/5106802677?refer_flag=1001030103_
29分钟前,喝完牛奶好好睡觉,"#琉璃#女主好蠢啊，男三好坏啊，看得我好生气🙃
心疼司凤",收藏,转发,评论 1,0,https://weibo.com/5019924449?refer_flag=1001030103_
29分钟前,男女那么些事,"#琉璃#

成毅片场教小银花如何诠释哭戏！
果然专业演员就是不一样！ L男女那么些事的微博视频",收藏,转发,评论,1,https://weibo.com/6293327984?refer_flag=1001030103_
29分钟前,影视剧百乐门,"#琉璃#【袁冰妍 成毅】
“笨蛋璇玑，你总是这样不管不顾，往人心底钻”
爱了爱了！被撩的死死的呀！！！ L影视剧百乐门的微博视频",收藏,转发,评论,6,https://weibo.com/6179910882?refer_flag=1001030103_
31分钟前 转赞人数超过400,饭圈安利娘,"#想拥有剧中甜甜的恋爱#《#琉璃# 》接下来这两集【纯糖预告】啊

褚璇玑/袁冰妍 禹司凤/成毅

画眉啊，擦脸啊，送礼物啊，嗝~~~~ L饭圈安利娘的微博视频",收藏,转发 68,评论 130,482,https://weibo.com/5110929410?refer_flag=1001030103_
31分钟前 转赞人数超过500,显微镜追剧少女,"#琉璃# | 成毅 袁冰妍

司凤和璇玑这个样子才像是在过七夕嘛！#司凤璇玑舌吻#

快捂上小孩子的眼睛",收藏,转发 53,评论 89,580,https://weibo.com/5555806640?refer_flag=1001030103_
32分钟前 转赞人数超过300,猫少女的热剧匣子,"成毅《#琉璃#》
琪琪公主的三连拍： “en ” “ wu ” “ a ”",收藏,转发 51,评论 96,387,https://weibo.com/5113022164?refer_flag=1001030103_
32分钟前 转赞人数超过10,影视扒扒姐,"扒姐看剧《#琉璃# 》
成毅/司凤 袁冰妍/璇玑

痛在司凤身，伤在璇玑心。我们小凤凰也太可怜了，怎么每集都在受伤不过视线怎么就不知不觉看向胸口了呢",收藏,转发 2,评论 1,12,https://weibo.com/7340603747?refer_flag=1001030103_
32分钟前,要瘦的小仙缺阿,越往后看越觉得昊宸好A…腾蛇好帅…都好🉑️…@Mr_刘学义 @白澍白澍 大帅哥赶紧火🔥#琉璃#,收藏,转发,评论 1,5,https://weibo.com/5111014384?refer_flag=1001030103_
34分钟前,囍旧-,"#琉璃##电视剧#
司凤璇玑
憨憨夫妇 连跑步的样子都是一样的 可爱死😭 L囍旧-的微博视频",收藏,转发,评论 2,9,https://weibo.com/5434362353?refer_flag=1001030103_
34分钟前,小鱼的冬菇猫,#琉璃# 笑死了，璇玑把昊辰给的良缘花给了司凤，昊辰气的在天上飘太可怜了,收藏,转发,评论 1,2,https://weibo.com/3517985923?refer_flag=1001030103_
36分钟前 转赞人数超过10,热剧情报局,"#琉璃#【成毅 袁冰妍】
原来璇玑也会撒狗粮了？
司凤：我们再也别相见了……
璇玑：么么哒~
司凤：我们永世不分离！ L热剧情报局的微博视频",收藏,转发 2,评论,15,https://weibo.com/6041830399?refer_flag=1001030103_
37分钟前 转赞人数超过1600,好剧风向标,"#琉璃#
狐狸：你就是战神啊，看着也不漂亮嘛
褚璇玑一脸委屈，看着司凤，OS：老公，她说我丑，快哄我~
司凤宠溺眼神，赶紧抱抱哈哈哈哈
#电视剧琉璃#",收藏,转发 176,评论 188,1730,https://weibo.com/3780574401?refer_flag=1001030103_
37分钟前 转赞人数超过100,广播站抖腿学姐,刘学义 只有我在考古吗？刘学义真的又帅又有趣哈哈哈哈！而且那么久的图居然没有黑历史！还是特别帅#电视剧琉璃##琉璃#,收藏,转发 3,评论 34,108,https://weibo.com/5538598982?refer_flag=1001030103_
36分钟前,m_lo_y,#琉璃# 我觉得这俩男女主确实没有到小说里特别美/帅的地步，不过也是可以担起帅哥美女的称呼的，演技更是很可以的，嗐，就，看短视频还挺好看的，我一直攒着等快完了或者我考完试了 再看,收藏,转发,评论 1,1,https://weibo.com/5600460530?refer_flag=1001030103_
39分钟前 转赞人数超过20,林毅天在客厅,#琉璃# 有些心疼花夭了，始终是个可以被放弃的替代品#乌童改造玲珑# L林毅天在客厅的微博视频,收藏,转发,评论 2,31,https://weibo.com/2273748873?refer_flag=1001030103_
38分钟前,二木归林,"电视剧琉璃#琉璃#
今天一天嘴咧的跟有男朋友似的
不过是看了一天这张图而已🙊",收藏,转发,评论 10,42,https://weibo.com/5842411408?refer_flag=1001030103_
40分钟前,书本里抄写的爱情,"#琉璃#【成毅&袁冰妍&刘学义&张予曦】
星宿长老传话给乌童
点名要找开天眼之人，柳大哥可要小心了 L书本里抄写的爱情的微博视频",收藏,转发,评论,2,https://weibo.com/6605843102?refer_flag=1001030103_
44分钟前 转赞人数超过1000,刘学义工作室,#刘学义太好笑了##琉璃# 在这个空气都弥漫甜甜气息的七夕，你是否被撒狗粮，你是否成为高瓦灯泡，昊辰师兄@Mr_刘学义 精心为大家准备的“七夕限定拆cp套餐”陪你过七夕，你值得拥有哦,收藏,转发 132,评论 191,1091,https://weibo.com/6696100125?refer_flag=1001030103_
44分钟前,鲸不豢·,"淇淇的演技是真的好 浑然天成的好
是我爱的那种好 怎么会这么好。
其实可以从角色中看到本我
有点点撑不下去的尬和害羞
太可爱啦 司凤就是我最爱的男主角！
是我太幸福啦 能够认识司凤
#琉璃##成毅禹司凤#",收藏,转发,评论 1,5,https://weibo.com/5294020146?refer_flag=1001030103_
47分钟前 转赞人数超过2万,姚奕辰,别问我如何做的蜡烛了，问了就是眼睛很疼，很酸，很肿…总之磕了千年的cp终于在一起了！甜的我都快站起来了！！#琉璃#,收藏,转发 1037,评论 2056,17775,https://weibo.com/1267099587?refer_flag=1001030103_
48分钟前 转赞人数超过100,L-O-S-T-1-6,"#琉璃# 🐦 #司凤是金赤鸟妖#
盼啊盼啊～终于又盼到了司凤打戏，我们司凤多机灵啊～一气呵成拿回了玲珑元神又救了二师兄虽然之后.....嗯。。。
接下来就等司凤翅膀 LL-O-S-T-1-6的微博视频",收藏,转发 4,评论 27,192,https://weibo.com/1766045144?refer_flag=1001030103_
49分钟前 转赞人数超过30,婧芯ing,"#电视剧琉璃##琉璃#
恨不得按男女主头给拍吻戏，之前超过30集的电视剧就不想打开了，太长了～直到遇见了琉璃，真香了",收藏,转发,评论 6,42,https://weibo.com/6428203683?refer_flag=1001030103_
49分钟前,林楓芹,#琉璃# 七夕情人節快樂，看15集甜的我牙疼,收藏,转发,评论 1,2,https://weibo.com/6588228286?refer_flag=1001030103_
50分钟前 转赞人数超过600,Rabbit每日爆料,#紫狐无支祁重逢#等了一千年，终于和臭猴子见面了，不过这臭猴子居然忘了这么好看的狐狸姐姐！#琉璃#这条支线太虐了，希望紫狐和无支祈最终结局是he！ LRabbit每日爆料的微博视频,收藏,转发 248,评论 322,560,https://weibo.com/5601456932?refer_flag=1001030103_
51分钟前 转赞人数超过100,热搜影视榜,"#琉璃# 成毅 | 刘学义 | 黄宥明 | 朱梓骁

琉璃女团申请出道，这么多小姐姐，你最喜欢哪个？
我们家的司凤，谁都不要跟我抢啊，哈哈哈 L热搜影视榜的微博视频",收藏,转发 9,评论 29,174,https://weibo.com/6183821347?refer_flag=1001030103_
51分钟前,阿呆阿瓜之三十万种整人方法,"征集大家的意见
请问哪一件好看一点 #琉璃#",收藏,转发,评论 5,2,https://weibo.com/5637706619?refer_flag=1001030103_
52分钟前,傲娇蟹柳面VVV,#电视剧琉璃##琉璃##成毅胸肌# 我的天 这尺度这么大的吗？都喷出来了!!!!!眼泪从嘴角缓缓流下,收藏,转发,评论 2,5,https://weibo.com/5469961683?refer_flag=1001030103_
54分钟前,剧迷天地,"#琉璃# 成毅 | 袁冰妍

有美人兮，高甜混剪！
假如我明天就要离开了，有你的世界我好舍不得。 L剧迷天地的微博视频",收藏,转发,评论,2,https://weibo.com/6605842748?refer_flag=1001030103_
54分钟前,是糖还是玻璃渣,电视剧《#琉璃#》：璇玑收服灵兽腾蛇，六师兄卧底救回玲珑魂魄，喜欢这部剧~ L是糖还是玻璃渣的微博视频,收藏,转发,评论,1,https://weibo.com/6579089082?refer_flag=1001030103_
55分钟前,8090的偶像,"#琉璃# #袁冰妍# | #成毅#

璇玑抱着禹司凤睡觉
怎料她的手却不老实
禹司凤都害羞了 L8090的偶像的微博视频",收藏,转发 1,评论,7,https://weibo.com/6524418728?refer_flag=1001030103_
55分钟前,霸屏第一名,"#琉璃# #袁冰妍# | #成毅#

高虐来袭！
璇玑恢复记忆，与司凤决裂
司凤崩溃彻底魔化 L霸屏第一名的微博视频",收藏,转发,评论,3,https://weibo.com/6579479281?refer_flag=1001030103_
55分钟前,扒料叔,#琉璃#预告 ‖ 司凤封印琉璃盏 昊辰师兄下线司凤说：我是罗睺计都，没想到你真的爱上了我#新星涛涛卡# L扒料叔的微博视频,收藏,转发,评论 1,5,https://weibo.com/7241326782?refer_flag=1001030103_
56分钟前 转赞人数超过300,梦里挑灯看剧,"来品一品昊辰的🍵艺，在天界当帝君都有些屈才了！
他急了他急了哈哈哈哈哈哈哈！表情我看着实在是太爽了

#琉璃#",收藏,转发 49,评论 119,425,https://weibo.com/5084904517?refer_flag=1001030103_
56分钟前 转赞人数超过1200,追新剧,"#琉璃# 成毅｜袁冰妍

司凤和璇玑超甜吻戏名场面合集，今天就要甜到齁！",收藏,转发 111,评论 115,1190,https://weibo.com/5832772172?refer_flag=1001030103_
56分钟前 转赞人数超过70,一起撩剧吧,"#琉璃#【成毅&袁冰妍】

司凤璇玑花絮好甜啊！
拉手手、躺腿腿，好自然的互动
啊啊啊啊啊啊，磕到了
~ L一起撩剧吧的微博视频",收藏,转发 5,评论 7,83,https://weibo.com/6179910926?refer_flag=1001030103_
56分钟前 转赞人数超过40,娱乐男神会馆,"#琉璃#【袁冰妍、成毅、刘学义、张予曦、白澍】
璇玑的灵兽竟然是腾蛇，被怼到想退货哈~哈哈哈哈
腾蛇好可爱啊！！！ L娱乐男神会馆的微博视频",收藏,转发 4,评论,41,https://weibo.com/6042105170?refer_flag=1001030103_
57分钟前 转赞人数超过3200,迷妹,"姐妹们！！把司凤很行！！！非常行！！给我打在公屏上啊啊啊啊啊啊啊太会亲了！！！！！！
我要疯了真的呜呜呜
#琉璃#",收藏,转发 219,评论 473,3334,https://weibo.com/5910074034?refer_flag=1001030103_
57分钟前,夏夕空7,"电视剧琉璃#电视剧琉璃# #琉璃# #昊辰生气打雷#
今天是七夕，这是昊辰生气了么？",收藏,转发,评论,6,https://weibo.com/2486427462?refer_flag=1001030103_
今天17:51,宅中的鱼摆摆,七夕最好的礼物，太开心了!#成毅##琉璃##成毅禹司凤# 2成都,收藏,转发,评论,9,https://weibo.com/6043810429?refer_flag=1001030103_
今天17:50,木M点点,"#电视剧琉璃##琉璃#
【司凤璇玑吻戏合集】司凤的眼角还有颗泪 璇玑的眼神真深情啊啊啊啊啊啊啊啊啊啊啊！！！！！
把司凤行 打在公屏上！！！又是为褚璇玑禹司凤的爱情心动的一天 来～大家一起默念静心咒 L木M点点的微博视频",收藏,转发,评论,8,https://weibo.com/1827022915?refer_flag=1001030103_
今天 17:49 转赞人数超过20,彩蛋花絮大爆料,"《#琉璃#》花絮：

【#袁冰妍##成毅#】
司凤璇玑适合去演戏剧
这莫名的喜感太逗了 L彩蛋花絮大爆料的微博视频",收藏,转发 1,评论,26,https://weibo.com/6579479230?refer_flag=1001030103_
今天17:47,隔壁家的黄狗子,#琉璃# 都怪当初打开了琉璃，现在害我每天每夜都在想，第一部没有更新完就已经二刷的剧，第一次看剧这么入迷，你们两个不结婚真的很难收场了,收藏,转发,评论 1,2,https://weibo.com/5217277463?refer_flag=1001030103_
今天 17:45 转赞人数超过1600,梦里挑灯看剧,"谁还敢说司凤不行！！！不愧是拍了一个通宵的

#琉璃#",收藏,转发 142,评论 384,1855,https://weibo.com/5084904517?refer_flag=1001030103_
今天 17:45 转赞人数超过10,剧透者联盟,"【#琉璃##电视剧琉璃# 成毅×袁冰妍】

师兄和师妹，掌门生死之争，终究是错付了！
我赌你会不会把我放心里，今生今世，你我生死不见！ L剧透者联盟的微博视频",收藏,转发 2,评论,21,https://weibo.com/6042105306?refer_flag=1001030103_
今天 17:44 转赞人数超过1000,学好解剖的SK,"#琉璃# X#成毅#
🙈🙈🙈

🔘成毅X禹司凤
🔘琉璃｜4K截修 禁二改 二传CR",收藏,转发 436,评论 249,845,https://weibo.com/5459748072?refer_flag=1001030103_
今天 17:43 转赞人数超过100,名_阿玉娘子,电视剧琉璃#琉璃# #用各种方式打开琉璃# 用仙剑的方式打开琉璃，仙剑bgm太好听了，百听不厌呀！！！@优酷 L名_阿玉娘子的微博视频,收藏,转发 11,评论 68,181,https://weibo.com/5945902757?refer_flag=1001030103_
今天17:41,追剧少女甜甜圈,"#琉璃 虐# /成毅/袁冰妍/第28集/

大虐之后必是高甜！司凤你绝对是我见过心里最强大的男主！司凤和璇玑原地结婚吧！#琉璃定档# L追剧少女甜甜圈的微博视频",收藏,转发 106,评论 106,170,https://weibo.com/6441348586?refer_flag=1001030103_
今天 17:40 转赞人数超过300,剧透影视圈,"#琉璃#
昊辰师兄大电灯泡实锤
被司凤璇玑甜蜜一吻气到发光、气到升天、气到漏电，还不够清醒吗？
如果再认不清现实，我就给你点播一首《电灯胆》了

#电视剧琉璃# L剧透影视圈的微博视频",收藏,转发 31,评论 30,311,https://weibo.com/2734396041?refer_flag=1001030103_
今天 17:40 转赞人数超过100,琉璃美人煞后援会,电视剧琉璃#琉璃##电视剧琉璃# 找到了师兄打雷的拍摄路透🙉🙈🙊师兄您飞那么高不害怕吗🙊 L琉璃美人煞后援会的微博视频,收藏,转发 15,评论 32,193,https://weibo.com/5849634586?refer_flag=1001030103_
今天 17:36 转赞人数超过10,追剧宁宁,#电视剧琉璃# 今天七夕节啦司凤偷亲璇玑，司凤套路璇玑拥抱，司凤给璇玑画眉，还帮璇玑收灵兽#琉璃# 互动太甜啦~ 2长春 L追剧宁宁的微博视频,收藏,转发 1,评论 5,21,https://weibo.com/7399087668?refer_flag=1001030103_
今天 17:36 转赞人数超过10,影视一锅炖,#琉璃#《琉璃》花絮：司凤情人咒已解，高能吻戏就在前方！ L影视一锅炖的微博视频,收藏,转发,评论 2,17,https://weibo.com/6613435717?refer_flag=1001030103_
0,严他他,"#琉璃##刘学义# 《琉璃》的辣鸡编剧写出来的史上最最最最垃圾的男二人设昊辰，简直就是刘学义美貌程度的最直观试金石。换个稍微没那么好看的人演，估计都会被骂到臭头，角色嫌恶滤镜8000米厚摘都摘不下来，导致演员本身观众缘磬尽再也接不到好角色。
这么一看，小刘老师真是左手美貌 展开全文c",收藏,转发,评论 4,27,https://weibo.com/1728954334?refer_flag=1001030103_
今天17:35,百事可爱we,,收藏,转发,评论,5,https://weibo.com/6657401687?refer_flag=1001030103_
今天 17:35 转赞人数超过1200,木M点点,开心幸福小可爱#琉璃# 乌童看向花妖得时候，眼里还是心疼的，害怕她被小银花咬到 L百事可爱we的微博视频,收藏,转发 20,评论 27,1473,https://weibo.com/1827022915?refer_flag=1001030103_
今天17:34,热剧聚光灯,"#电视剧琉璃##琉璃#
《琉璃直播》袁冰妍笑得真的是太甜了抓到了在一旁扭来扭去的成毅 L木M点点的微博视频",收藏,转发 1,评论 1,10,https://weibo.com/6179910455?refer_flag=1001030103_
今天17:34,新剧趁热看,"#琉璃#
原来，司凤的情人咒就是这样解的呀！
这个吻有点鲨我！！！！
这个吻到底在第几集！！！ L热剧聚光灯的微博视频",收藏,转发,评论,5,https://weibo.com/6101000780?refer_flag=1001030103_
今天 17:34 转赞人数超过100,ImPhotosguy,"#琉璃#【成毅&袁冰妍&刘学义&张予曦】
昊辰志在必得直接提亲
璇玑大惊失色拒婚，这一波操作让人直呼过瘾 L新剧趁热看的微博视频",收藏,转发 4,评论 48,152,https://weibo.com/3268830952?refer_flag=1001030103_
今天17:33,小鲜肉追剧,"#琉璃# 十分钟回顾司凤璇玑悲情九世，看索命痣创始人璇玑如何使用必杀技虐司凤。可怜的大鸟司凤，希望第十世能逃脱命运的轮回
成毅/袁冰妍 L小鲜肉追剧的微博视频",收藏,转发,评论,9,https://weibo.com/5154249757?refer_flag=1001030103_
今天17:33,今天也要早睡呢啊,"#七夕##琉璃##司凤璇玑九生九世#
“今日七夕 两位真是神仙一样的璧人”",收藏,转发,评论 1,2,https://weibo.com/6047358969?refer_flag=1001030103_
今天 17:31 转赞人数超过40,hnll_007,#琉璃# 这委屈的小眼神配上苍白的病容再加上一点愤怒就真的很妙@Mr_刘学义,收藏,转发 3,评论 19,45,https://weibo.com/6254799254?refer_flag=1001030103_
今天17:31,剧迷联盟,"#琉璃##若玉疯了#

若玉和钟敏言投靠天墟堂
司凤保护璇玑被刺重伤！
璇玑一怒之下，上大号秒杀！

璇玑不开大号，果然是司凤伤的不够重！ L剧迷联盟的微博视频",收藏,转发 1,评论,8,https://weibo.com/6085757494?refer_flag=1001030103_
今天 17:30 转赞人数超过10,Sunshine-Fevery,"#电视剧琉璃# #琉璃#
超甜预警[米奇比心]今晚预告来啦~

撩人小凤凰套路璇玑，我们的小璇玑你怎么害羞了 ~❤️205次赞📷电视剧琉璃的优酷视频 L电视剧琉璃的优酷视频 @优酷",收藏,转发,评论,15,https://weibo.com/2936643773?refer_flag=1001030103_
0,山东省图书馆,"▍#鲁图君赠书# 《爱追剧？那你的作文有救了》

最近的《#以家人之名# 》《#琉璃# 》真是越追越上头家长们担心孩子追剧影响学习，其实，追过的剧也能用来写作文！

《爱追剧？那你的作文有救了》结合观众爱看、反响强烈的热播影视剧，用“拉片子”的方式归纳影视剧中体现的写作方法，提供各种影视剧 展开全文c",收藏,转发 17,评论 6,7,https://weibo.com/2017691781?refer_flag=1001030103_
今天 17:29 转赞人数超过2400,1X1X,,收藏,转发 142,评论 523,2588,https://weibo.com/5032932021?refer_flag=1001030103_
今天17:28,INfinEros,#琉璃#,收藏,转发,评论 2,3,https://weibo.com/1906286120?refer_flag=1001030103_
